state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_pct,nonvoter_reg_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
IN,Indiana,2008,1,1,NA,NA,NA,0.020408385,NA,NA,NA,0.036581814,NA,0.4717899,0.94369364,0,0.17045112,0.068611361,0,24.056875,0.019362837,0.81064779,0.6030463
IN,Indiana,2010,1,1,1,1,1,0.54463601,0.0010168364,6.1780348e-4,0.0042424863,NA,0.068157613,0.7370199,0.98268664,0,0.12509474,0.025922967,1,NA,NA,0.73513222,0.38006222
IN,Indiana,2012,1,1,1,1,1,0.040763713,0.0018026014,0.0015007285,0.0045216614,0.0065625943,0.20583738,0.13478316,0.99325019,0,0.17448731,0.064577788,1,14.319768,0.0145808,0.78423786,0.55963689
IN,Indiana,2014,1,1,1,1,1,0.040475342,NA,NA,0.0044887168,0.0088933939,0.16138329,0.10293013,0.96888703,0,0.10695765,0.022688877,1,4.8581014,NA,0.75158703,0.28824309
IN,Indiana,2016,1,1,1,1,1,0.065966077,0.0010711486,8.437105e-4,7.3988008e-4,0.0026246607,0.025219608,0.087731667,1,0,0.17443781,0.052078437,1,17.001461,0.01770539,0.81358975,0.57858533
KS,Kansas,2008,0,1,NA,NA,NA,4.0395139e-4,0.031834971,0.0098226573,0.003254218,0.0658288,0.10101964,0.24473436,0.88605911,0,0.1657014,0.05095426,0,10.751668,NA,0.77179462,0.63471937
KS,Kansas,2010,1,1,1,1,0,3.4708099e-4,0.021088826,0.0059079495,0.0049308697,0.16310549,0.03576538,0.70180523,1,0,0.11972587,0.035272442,1,NA,NA,0.76723164,0.4168779
KS,Kansas,2012,1,1,1,1,0,NA,0.034847721,0.012092916,0.0045387666,NA,0.056886952,0.22778158,0.94444442,0,0.15518427,0.06523893,1,11.498145,0.022419401,0.81286782,0.58124512
KS,Kansas,2014,1,1,1,0,0,NA,0.025656246,0.0074088224,0.0025222974,0.11961104,0.017492712,0.20828402,0.94444442,0,0.11605674,0.026248664,1,4.4589114,NA,0.75057954,0.43400207
KS,Kansas,2016,1,1,1,0,0,NA,0.033406049,0.011211362,0.0035643908,0.088126555,0.012831241,0.1590704,0.93979597,0,0.13775086,0.055136386,1,5.5047231,0.025220551,0.80751514,0.59737623
